Job,Company,Location,Date,Link
auditor senior de agencias territorio,mibanco,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/auditor-senior-de-agencias-territorio-mibanco-1114853980.html
líder técnico,indra peru,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/lider-tecnico-indra-peru-1114916829.html
recién egresadosbijavapmo,indra peru,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/recien-egresados-bi-java-pmo-indra-peru-1114916820.html
practicante de selección sede callao,bimbo perú,"callao, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-de-seleccion-sede-callao-bimbo-peru-1114916812.html
practicante preprofesional de bienestar social lima,compartamos financiera s.a.,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-pre-profesional-de-bienestar-social-lima-compartamos-financiera-s.a.-1114916802.html
patrón de bahía,psa marine perú,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/patron-de-bahia-psa-marine-peru-1114916770.html
experto de negocios bancaseguros,pacífico seguros,"san isidro, lima",2022-01-14,https://www.bumeran.com.pe/empleos/experto-de-negocios-bancaseguros-pacifico-seguros-1114916756.html
practicante pre profesional de rrhh,caja de pensiones militar policial,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-pre-profesional-de-r.r.h.h-caja-de-pensiones-militar-policial-1114916745.html
operador de producción callao,quimtia,"callao, lima",2022-01-14,https://www.bumeran.com.pe/empleos/operador-de-produccion-callao-quimtia-1114916743.html
oficial de maquinas,psa marine perú,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/oficial-de-maquinas-psa-marine-peru-1114916707.html
líder técnico trabajo remoto,zoluxiones sac,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/lider-tecnico-trabajo-remoto-zoluxiones-sac-1114916705.html
marinero,psa marine perú,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/marinero-psa-marine-peru-1114916667.html
capitán de remolcador,psa marine perú,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/capitan-de-remolcador-psa-marine-peru-1114916657.html
practicante de taller mecánico,antonio rivera villavicencio,"cercado de lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-de-taller-mecanico-antonio-rivera-villavicencio-1114911185.html
jefe de finanzas,dfj soluciones integrales sac,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/jefe-de-finanzas-dfj-soluciones-integrales-sac-1114916591.html
practicante profesional soldador,tecnofil s.a.,"independencia, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-profesional-soldador-tecnofil-s.a.-1114911133.html
practicante pre profesional de recursos humanos,triton group business,"villa el salvador, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-pre-profesional-de-recursos-humanos-triton-group-business-1114916571.html
practicante de contabilidad,pacific holding,"san miguel, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-de-contabilidad-pacific-holding-1114916555.html
especialista en control y monitoreo de estrategias de recaudación de f,aldeas infantiles sos peru,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/especialista-en-control-y-monitoreo-de-estrategias-de-recaudacion-de-fondos-aldeas-infantiles-sos-peru-1114916528.html
practicante profesional de ingeniería,divemotor,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-profesional-de-ingenieria-divemotor-1114916427.html
practicante pre profesional de rrhh administración de personal,mandomedio,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-pre-profesional-de-rrhh-administracion-de-personal-mandomedio-1114916359.html
supervisor de mantenimiento raura,mill hire the future,"junín, junin",2022-01-14,https://www.bumeran.com.pe/empleos/supervisor-de-mantenimiento-raura-mill-hire-the-future-1114916334.html
ayudante de picking trujillo,arca continental lindley,"trujillo, la libertad",2022-01-14,https://www.bumeran.com.pe/empleos/ayudante-de-picking-trujillo-arca-continental-lindley-1114916316.html
practicante técnico de administración,luz del sur s.a.a.,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-tecnico-de-administracion-luz-del-sur-s.a.a.-1114916226.html
televendedor tarjetas scotiabank planilla completa fijo comisi,salesland internacional s.a.,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/televendedor-tarjetas-scotiabank-planilla-completa-fijo-comisiones-ilimitadas-salesland-internacional-s.a.-1114916211.html
practicante en cálculo de nóminas de trabajadores extranjeros,ey (ernst & young),"san isidro, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-en-calculo-de-nominas-de-trabajadores-extranjeros-ey-ernst-young-1114916203.html
practicante de contabilidad,hochschild,"santiago de surco, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-de-contabilidad-hochschild-1114251832.html
tecnico operario de almacen,escopce taltex,"chorrillos, lima",2022-01-14,https://www.bumeran.com.pe/empleos/tecnico-operario-de-almacen-escopce-taltex-1114910658.html
practicante de arquitectura,inmobiliaria y constructora marcan,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-de-arquitectura-inmobiliaria-y-constructora-marcan-1114916122.html
jefe de proyectos ti experiencia en banca,mdp consulting sac,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/jefe-de-proyectos-ti-experiencia-en-banca-mdp-consulting-sac-1114916102.html
practicante de sistemas ti,pesquera diamante s.a.,"san isidro, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-de-sistemas-ti-pesquera-diamante-s.a.-1114855062.html
practicante profesional de impuestos minería,rcs capital humano,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-profesional-de-impuestos-mineria-rcs-capital-humano-1114916076.html
asesor comercial,acceso,"cercado de lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/asesor-comercial-acceso-1114916049.html
asistente contable tributario,rsm perú,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/asistente-contable-tributario-rsm-peru-1114916031.html
practicante pre o profesional ingenieria mecanica y electrica,ab technology s.a.c.,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-pre-o-profesional-ingenieria-mecanica-y-electrica-ab-technology-s.a.c.-1114915995.html
practicante pre profesional sistemas,fesepsa s.a,"callao, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-pre-profesional-sistemas-fesepsa-s.a-1114915967.html
practicante de conciliación,expertia,"miraflores, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-de-conciliacion-expertia-1114915949.html
practicante contabilidad tributario,fenix power peru s.a.,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-contabilidad-tributario-fenix-power-peru-s.a.-1114915938.html
asistente de auditoria tributaria,rsm perú,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/asistente-de-auditoria-tributaria-rsm-peru-1114915858.html
experto de negocio,pacífico seguros,"san isidro, lima",2022-01-14,https://www.bumeran.com.pe/empleos/experto-de-negocio-pacifico-seguros-1114915841.html
practicante de contabilidad,skechers peru s.r.l.,"miraflores, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-de-contabilidad-skechers-peru-s.r.l.-1114915774.html
asistente social junior,supermercados peruanos s.a.,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/asistente-social-junior-supermercados-peruanos-s.a.-1114915718.html
practicante preprofesional de contabilidad,laboratorios roe sa,"san isidro, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-preprofesional-de-contabilidad-laboratorios-roe-sa-1114915710.html
prevencionista,confidencial,perú,2022-01-14,https://www.bumeran.com.pe/empleos/prevencionista-1114915591.html
